names,address1,address2,phone,opened,enrollment,grades,status,description,longitude,latitude
Urban Academy Charter,133 E. Seventh St.,"St. Paul, MN 55101",651-215-9419,2003,220,K-6,Open,"Unique, integrated curriculum based on the Minnesota Graduation Standards. Uses a team approach to achieve a connected curriculum that recognizes and celebrates diversity.",-93.0930646,44.9499203
Veritas Academy,2180 N. Shore Dr.,"Wayzata, MN 55404",952-201-8667,2006,,12-Sep,Open,"Provide a rigorous academic curriculum, instills positive values, promotes good character and develops strong leadership in young adults.",-93.578352,44.953334
Voyageurs Expeditionary School,3724 Bemidji Ave. N.,"Bemidji, MN 56601",218-444-3130,2003,74,12-Sep,Open,Learning program provided by Expeditionary Learning Outward Bound.,-94.875058,47.5057631
W.I.S.E. Charter School (Carter G. Woodson Institute for Student Excellence),1501 Aldrich Ave. North,"Minneapolis, MN 55411",612-522-4022,2002,370,K-8,Open,"Academic and social development of students from under-served communities, with an emphasis on cultural awareness, academic achievement and responsible citizenship.",-93.290299,44.994121
Watershed High School,"2344 Nicollet Ave. S., Ste. 300","Minneapolis, MN 55404",612-871-4363,2002,112,12-Sep,Open,"Waldorf method. Academic program includes the full complement of college preparatory subjects, balanced with equally rich courses in the arts, crafts and physical education.",-93.278377,44.959468
Waynewood School of Hope,1000 University Ave.,"St. Paul, MN 55104",651-917-3085,2008,,8-Jun,Open,Commitment to high expectations to give students an inspired vision of the future and the skills to take control of their destiny.,-93.1423223,44.9556471
World Learner School of Chaska,112050 Hundertmark Rd.,"Chaska, MN 55318",952-368-7398,1995,166,8-Jan,Open,"Program based on the Montessori philosophy, teaching practices and classroom learning environment. Provides multi-age, cooperative classrooms.",-93.6081874,44.819458
Worthington Area Language Academy,3012 Birchwood,"Bigelow, MN 56117",507-683-2004,2005,135,K-8,Open,Features a multicultural dual immersion language learning environment of English and Spanish.,-95.6890363,43.5072371
Yinghua Academy,1355 Pierce Butler Rte.,"St. Paul, MN 55104",651-379-4112,2006,240,K-5,Open,Focus on Chinese language and culture.,-93.157341,44.968355
Jane Goodall Earth Sciences Academy,"161 St. Anthony Ave., Suite 1000","St. Paul, MN 55103",651-789-3090,2011,,12-Jul,Approved,"Focus on Environmental Learning, slated to open in 2011.",-93.107532,44.951459
Emily Charter School,39811 MN-6,"Emily, MN 56447",,1994,,,Closed,Financial -Inadequate enrollment.,-93.9582667,46.7282027
Hayes Cooper Center,"500 N. Martin Luther King, Jr.","Merigold, MS 38759",662-748-2734,1997,367,PreK-6,Open,An alternative for students not successful in traditional programs.,-90.7262088,33.8390012
Academie Lafayette,6903 Oak St.,"Kansas City, MO 64131",816-361-7735,1999,427,K-8,Open,"French language total immersion program in which, by end of eighth grade, child will speak French with native proficiency, be permanently fluent in French and English, and ready for college preparatory high school curriculum.",-94.5848837,38.991903
Academy of Kansas City,2015 E. 72nd St.,"Kansas City, MO 64132",816-523-4707,1999,350,K-8,Open,"Student centered school with focus on cooperative learning, creative thinking, community involvement and technology.",-94.563673,38.995604
Allen Village School,706 W. 42nd St.,"Kansas City, MO 64111",816-931-0177,1999,420,K-8,Open,Emphasizes the development of positive self-image and learning attitudes.,-94.594955,39.052917
Alta Vista Charter School,1722 Holly St.,"Kansas City, MO 64108",816-471-2582,1999,176,12-Sep,Open,"Year-round, student-centered learning environment that helps urban and at-risk students develop academic excellence and literacy skills in core subjects and technologies.",-94.5980616,39.092326
Benjamin Banneker Charter Academy of Technology,6401 Rockhill Rd,"Kansas City, MO 64131",816-926-9110,1999,241,K-8,Open,Focuses on computers and other advanced technology to provide an academic environment conducive to high achievement.,-94.576311,39.010816
Brookside Charter School,5220 Troost St.,"Kansas City, MO 64110",816-531-2192,2002,370,K-10,Open,Operates from Basic School Framework. Focuses on connecting the curriculum.,-94.5735197,39.0322678
Brookside-Frontier Math and Science School,5605 Troost Ave.,"Kansas City, MO 64110",816-822-1331,2007,165,10-Jun,Open,Operates from Basic School Framework. Focuses on connecting the curriculum. Will expand to grade 12.,-94.573599,39.024468
Carondelet Leadership Academy,7604 Michigan Ave.,"St. Louis, MO 63111",314-802-8744,2010,300,K-5,Open,Expanding to K-8.,-90.260832,38.5492643
City Garden Montessori Charter School,2109 S. Spring Ave.,"St. Louis, MO 63110",314-664-7646,2008,50,K-3,Open,Uses Montessori method and hopes to cultivate young people to value and respect themselves and each other.,-90.2430828,38.6133822
Confluence Academies - Old North St. Louis Campus,3017 N. Thirteenth St.,"St. Louis, MO 63107",314-241-1110,2003,696,K-8,Open,"Curriculum is research-based. Focus is on math and science, humanities and the arts, character and ethics, practical arts and skills and physical fitness and health.",-90.196812,38.654376
Confluence Academy - South City Campus,4235 S. Compton Ave.,"St. Louis, MO 63118",314-481-4700,2006,400,K-7,Open,"Curriculum is research-based. Focus is on math and science, humanities and the arts, character and ethics, practical arts and skills and physical fitness and health. Will expand to K-8",-90.240387,38.579281
Confluence Academy - Walnut Park Campus,5421 Thekla Ave.,"St. Louis, MO 63120",314-383-8900,2004,700,K-8,Open,"Curriculum is research-based. Focus is on math and science, humanities and the arts, character and ethics, practical arts and skills and physical fitness and health.",-90.2457005,38.695118
Confluence Preparatory Academy,3112 Meramec St.,"St. Louis, MO 63118",314-481-4700,2008,90,9,Open,College preparatory program.,-90.2381192,38.5801687
Construction Careers Center Charter High School,1224 Gratton,"St. Louis, MO 63104",314-644-1525,2001,500,12-Sep,Open,"Aimed at turning out students ready to serve as apprentices in the various building trades--carpenters, ironworkers, electricians and plumbers. Graduates could also move on to community college or a four-year university.",-90.2085835,38.6171242
DeLaSalle Charter High School,3740 Forest Ave.,"Kansas City, MO 64109",816-561-4445,2010,,12-Sep,Open,,-94.5708743,39.0581808
Della Lamb Elementary Charter School,1000 Charlotte,"Kansas City, MO 64106",816-842-8040,1999,450,K-6,Open,"Basic skills instruction utilizing SRA Direct Instruction and Core Knowledge. Seeks to create long-term educational and economic impact in the lives of low-income, disadvantaged, at-risk children and families.",-94.5740508,39.1019684
Derrick Thomas Academy,201 E. Armour Blvd.,"Kansas City, MO 64111",816-531-7144,2002,950,K-8,Open,"Engaging curriculum, house team setting, rich technology and higher-level thinking.",-94.582782,39.063099
Don Bosco Charter High School,548 Brooklyn Ave.,"Kansas City, MO 64124",816-691-2915,1999,380,12-Sep,Open,An existing alternative school with a focus on dropout retention.,-94.5556333,39.1072631
Frontier School of Innovation,6700 Corporate Dr,"Kansas City, MO 64120",816-363-1907,2009,,K-5,Open,,-94.5037429,39.1353716
Gateway Science Academy,6576 Smiley Ave.,"St. Louis, MO 63139",314-498-7454,2010,225,K-7,Open,STEM focused.,-90.3024499,38.6069959
"Genesis School, Inc.",3800 E. 44th St.,"Kansas City, MO 64130",816-245-5142,1999,140,8-Jun,Open,An existing alternative school with a focus on dropout retention.,-94.5401556,39.0459415
Gordon Parks Elementary,3715 Wyoming,"Kansas City, MO 64111",816-753-6700,1999,212,K-5,Open,"Focus on literacy, with emphasis on the arts and hands on active learning. Seeks to help at-risk children to develop to their potential and to establish strong ties between the school and the community.",-94.6026849,39.060239
Grand Center Arts Academy,620 N. Grand,"St. Louis, MO 63103",314-233-1791,2010,225,7-Jun,Open,,-90.2357094,38.6288751
Hogan Preparatory Academy,1221 E. Meyer Blvd.,"Kansas City, MO 64131",816-444-3464,1999,350,12-Sep,Open,Values based college preparatory education.,-94.572034,39.010693
Hope Academy,2801 Swope Pkwy.,"Kansas City, MO 64130",816.795.8106,2009,400,12-Sep,Open,Dropout recovery school,-94.551625,39.037959
Imagine Academy of Academic Success,1409 E. Linton Ave.,"St. Louis, MO 63107",314-652-1600,2007,504,K-8,Open,"Project-based learning, individualized attention, and a strong Core Knowledge based curriculum. Single sex classrooms. Will expand to grade 12.",-90.210067,38.677324
Imagine Academy of Careers - Elementary,3740 Marine Ave.,"St. Louis, MO 63118",314-776-6300,2007,450,K-5,Open,"Project-based learning, individualized attention, and a strong Core Knowledge based curriculum.",-90.2202159,38.585757
Imagine Academy of Careers - Middle,1901 N. Kings Highway,"St. Louis, MO 63113",314-361-4940,2007,360,8-Jun,Open,"Project-based learning, individualized attention, and a strong Core Knowledge based curriculum.",-90.4619842,38.8428606
Imagine Academy of Cultural Arts,1509 Washington Ave. Suite 800,"St. Louis, MO 63103",314-561-3383,2010,350,K-5,Open,"The unique cultural arts focus of the school will introduce students to other languages, governments, educational systems, foods, dance, music, and arts.",-90.2010164,38.6326683
Imagine Academy of Environmental Science and Math,1008 S. Spring Ave.,"St. Louis, MO 63110",314-773-4400,2007,1377,K-8,Open,"Project-based learning, individualized attention, and a strong Core Knowledge based curriculum.",-90.240312,38.626161
Imagine College Preparatory High School,706 N. Jefferson Ave.,"St. Louis, MO 63103",314-588-8622,,725,12-Sep,Open,College preparatory program.,-90.212649,38.6359555
Imagine Renaissance Academy for Environmental Science and Math - Wallace Campus,414 Wallace Ave,"Kansas City, MO 64125",816-363-1694,2007,800,12-Jun,Open,"Project-based learning, individualized attention, and a strong Core Knowledge based curriculum.",-94.483751,39.108703
Imagine Renaissance Academy of Environmental Science and Math - Kensington Campus,5000 E. 17th St.,"Kansas City, MO 64127",816-241-3465,2007,583,K-5,Open,"Project-based learning, individualized attention, and a strong Core Knowledge based curriculum.",-94.524073,39.091128
KIPP Endeavor Academy,2700 E. 18th St.,"Kansas City, MO 64127",816-405-6179,2007,200,6-May,Open,College preparatory program. Will expand to grade 8.,-94.550378,39.091816
KIPP Inspire Academy,2647 Ohio Ave.,"St. Louis, MO 63118",314-223-9716,2009,90,5,Open,College preparatory school. Will expand to grade 5.,-90.226095,38.604368
Lee A. Tolbert Community Academy,3400 The Paseo,"Kansas City, MO 64109",816-561-0114,1999,500,K-8,Open,"Academic, cultural, social, physical, organizational, peer mediation and goal setting skills will assist students in achieving their maximum potential and developing positive attitudes and high self-esteem.",-94.567668,39.064464
Lift for Life Academy,1731 S. Broadway,"St. Louis, MO 63104",314-231-2337,2000,275,11-Jun,Open,Hands-on instruction and rigorous academics.,-90.2007689,38.608357
North Side Community School,3303 N. Euclid,"St. Louis, MO 63115",314-260-7700,2009,90,K-1,Open,,-90.2363697,38.6882961
Pathway Academy,2015 E. 72nd St.,"Kansas City, MO 64127",816-960-7290,2009,200,K-6,Open,High school preparatory curriculum,-94.563673,38.995604
Scuola Vita Nuova (School of New Life),544 Wabash Ave.,"Kansas City, MO 64124",816-231-5788,1999,200,K-8,Open,"Child-centered, community learning environment that develops leadership, academic excellence in core subjects, multiple language acquisition and understanding and appreciation for art, music and business.",-94.5525928,39.1073439
Shearwater High School,4470 Finney Ave.,"St. Louis, MO 63113",314-289-1203,2010,74,12-Sep,Open,Will focus on dropout recovery and prevention. Located at the welding lab at Ranken Technical College.,-90.2496485,38.6531414
St. Louis Charter School,5279 Fyler Ave.,"St. Louis, MO 63139",314-645-9600,2000,930,K-8,Open,"Project-based learning, a strong Core Knowledge based curriculum and daily use of technology as a learning tool.",-90.2788519,38.6006504
St. Louis Language Immersion School-The Spanish School,4011 Papin St.,"St. Louis, MO 63110",314-533-0975,2009,80,K-1,Open,Total language immersion in Spanish or French through the International Baccalaureate Primary Years Program. Will expand to grade 5.,-90.2480811,38.6292752
Tolbert Preparatory Academy,3400 Virginia Avenue,"Kansas City, MO 64109",816-753-0114,2007,200,10-Sep,Open,"Provides a rigorous academic program for college bound students and future business leaders in a small, personalized setting.",-94.5682822,39.0649037
University Academy,6801 Holmes Rd.,"Kansas City, MO 64131",816-412-5900,2000,1150,K-12,Open,"A student celebrated environment that focuses on critical thinking, cultural diversity and leadership. Not a single sex school, but they have some single sex classes at different grade levels.",-94.578382,39.005146
Urban Community Leadership Academy,1524 Paseo Blvd.,"Kansas City, MO 64108",816-483-8035,1999,230,9-May,Open,Serves severely at-risk students.,-94.565313,39.0943029
Jamaa Learning Center,,"St. Louis, MO ",,2011,,K-8,Approved,,-90.224967,38.646991
Kauffman School,,"Kansas City, MO ",,2011,75,5,Approved,"Global competence, strong training in math and science, and directed learning.",-94.5785667,39.0997265
St. Louis Collegiate,,"St. Louis, MO ",,2011,,5,Approved,,-90.224967,38.646991
Ethel Hedgeman Lyle Elementary Academy,"1509 Washington Ave., Ste. 800","St. Louis, MO 63103",,2000,,,Closed,Academic - Lowest test scores in the city.,-90.2010164,38.6326683
Ethel Hedgeman Lyle Middle and High College Preparatory,1881 Pine Ave.,"St. Louis, MO 63103",,2005,,,Closed,Academic - Lowest test scores in the city.,-90.2071273,38.6309491
Academy for Career Education,2800 Vassar St.,"Reno, NV 89502",775-324-3900,2002,185,12-Sep,Open,Comprehensive instruction in building trades.,-119.7754003,39.513039
Alpine Academy,605 Boxington Way Suite 112,"Sparks, NV 89434",775-356-1166,2009,120,12-Sep,Open,Standards-based programs focusing on states academic standards and preparing its students for college,-119.712986,39.540532
Andre Agassi College Preparatory Academy,1201 W. Lake Mead Blvd.,"Las Vegas, NV 89106",702-948-6000,2001,589,K-12,Open,Focus on technology and college preparation. Will expand to grade K-12.,-115.157294,36.1954009
Bailey Charter Elementary School,210 Gentry Way,"Reno, NV 89502",775-323-6767,2001,270,K-6,Open,"Balanced literacy approach, using whole language and phonics programs.",-119.795015,39.494342
Carson Montessori School,2263 Mouton Dr.,"Carson City, NV 89706",775-882-3011,2004,80,K-6,Open,Uses the Montessori method.,-119.74386,39.205734
Coral Academy of Science,1350 E. Ninth St.,"Reno, NV 89512",775-323-2332,2000,500,12-Jun,Open,"Offers comprehensive college preparatory program focusing on science, mathematics and technology.",-119.796762,39.538416
Coral Academy of Science - Elementary,1701 Valley Rd.,"Reno, NV 89512",775-322-0274,2006,200,K-5,Open,"Offers comprehensive college preparatory program focusing on science, mathematics and technology.",-119.80827,39.543434
Elko Institute for Academic Achievement,"1031 Railroad Street, Suite 107","Elko, NV 89801",775-738-3422,2009,172,K-8,Open,,-115.757897,40.836163
Explore Knowledge Academy Elementary School,4801 S. Sandhill Rd.,"Las Vegas, NV 89121",702-730-2933,2003,253,6-Jan,Open,Personal Exploration Plan for each student. Project-based instruction for personal learning with a strong emphasis on the use of increased technological resources.,-115.092457,36.101498
Explore Knowledge Academy Middle and High School,1711 Whitney Mesa Dr.,"Henderson, NV 89014",702-870-5032,2002,160,12-Jun,Open,Personal Exploration Plan for each student. Project-based instruction for personal learning with a strong emphasis on the use of increased technological resources.,-115.068164,36.076662
Explore Knowledge Academy School - Community Lane Campus,4845 Community Lane,"Las Vegas, NV 89121",702-385-0745,2006,140,K-6,Open,Personal Exploration Plan for each student. Project-based instruction for personal learning with a strong emphasis on the use of increased technological resources.,-115.094719,36.101305
High Desert Montessori School,2590 Oro Vada St.,"Reno, NV 89512",775-624-2800,2002,350,PreK-8,Open,Bilingual Montessori education.,-119.8005027,39.558586
I Can Do Anything Charter School,"1195 Corporate Blvd., Ste. C","Reno, NV 89502",775-857-1544,2000,352,12-Sep,Open,Rigorous academic program.,-119.751117,39.511009
Imagine 100 Academy of Excellence,2341 Comstock Dr.,"N. Las Vegas, NV 89032",702-636-2551,2006,375,K-8,Open,"Emphasis on Direct Instruction, college prep program, competency grouping, and content mastery. Uses Core Knowledge Sequence. Will expand to K-8",-115.16533,36.2018582
Imagine School in the Valle,6610 Grand Montecito Parkway,"Las Vegas, NV 89149",702-287-4510,2008,525,K-7,Open,Individualized learning environment in which every child can grow and excel personally and intellectually.,-115.279363,36.281297
Innovations International Charter School of Nevada,1600 E. Oakley Blvd.,"Las Vegas, NV 89104",702-216-4337,2006,400,K-12,Open,Bilingual English/Spanish curriculum,-115.129423,36.151546
Las Vegas Charter School of the Deaf,7901 W Gowan RD,"Las Vegas, NV 89129",702-385-3323,2008,30,K-3,Open,"Bilingual cultural education, focusing on American Sign Language.",-115.267966,36.225495
Mariposa Dual Language Academy,3875 Glen St.,"Reno, NV 89502",775-826-4040,2002,200,K-6,Open,Bilingual program.,-119.778524,39.488793
Nevada Connections Academy,"5690 Riggins Court, Ste B","Reno, NV 89502",775-826-4200,2007,440,K-11,Open,"Quality, personalized education for students and their families outside the traditional classroom. Will expand to grade 12.",-119.774983,39.471516
Nevada State High School,1125 Nevada State Dr.,"Henderson, NV 89015",702-992-2017,2002,200,12-Nov,Open,Students earn both high school and college credit for this coursework.,-114.938778,35.987326
Nevada Virtual Academy,"187 E. Warm Springs Rd., Ste C","Las Vegas, NV 89119",702-407-1825,2007,3000,K-8,Open,Online education program that combines technology with a traditional curriculum. Learning program is self-paced and adapts to needs of individual.,-115.1642022,36.0569165
Odyssey Charter School of Nevada,2251 S. Jones Blvd.,"Las Vegas, NV 89146",702-257-0578,1999,1410,K-12,Open,"Combines homeschooling, onilne schooling with actual classes at a campus a few times a week.",-115.227332,36.146695
Rainshadow Community Charter High School,121 Vesta St.,"Reno, NV 89502",775-322-5566,2003,80,12-Sep,Open,Instructional model based on the concept of localized interdisciplinary exploration. Students participate in field-based activities and projects aimed at improving the quality of life in the local community.,-119.8045779,39.5099302
Sierra Nevada Academy Charter School,13880 Stead Blvd.,"Reno, NV 89506",775-677-4500,1999,307,PreK-8,Open,Core Knowledge school.,-119.8815974,39.6419122
Silver Sands Montessori Charter School,"1841 Whitney Mesa Dr., Suite 100","Henderson, NV 89014",702-522-6220,2009,132,K-5,Open,,-115.066553,36.076916
Silver State High School,3719 N. Carson St.,"Carson City, NV 89706",775-883-7900,2004,492,12-Jul,Open,"Quality, alternative high school to students that are at-risk of dropping out or have dropped out. Features an on-line distance learning education but students still attend classes once per week.",-119.7736663,39.1918537
Academy of Science and Design,316 Daniel Webster Highway,"Merrimack, NH 03054",603-262-9162,2007,103,12-Jul,Open,"Concentration on science, mathematics, engineering and design. Will expand to grades 7-12.",-71.492093,42.841218
Cocheco Arts and Technology Academy,37A Province Ln.,"Barrington, NH 03825",603-664-9671,2005,70,12-Sep,Open,Emphasizes an arts-based education.,-71.027009,43.2165168
CSI Charter School,26 Washington St.,"Penacook, NH 03303",603-753-0199,2007,40,12-Oct,Open,Match students individual needs and learning styles to their coursework. Teachers would follow real world learning principles.,-71.601398,43.278635
Great Bay e-Learning Charter School,56 Linden St.,"Exeter, NH 03833",603-775-8638,2005,160,12-Sep,Open,Technology-oriented program. Curriculum utilizes distance learning and video conferencing while also requiring students to attend school physically each day.,-70.959562,42.9721553
New Heights Charter Academy,27 Wallace Rd.,"Goffstown, NH 03045",603-497-4841,2006,10,12-Nov,Open,"Features non-traditional classroom settings, including eLearning, internships, work and community offerings.",-71.5848682,43.012285
North Country Charter Academy,"260 Cottage St., Ste. A","Littleton, NH 03561",603-444-1535,2004,60,12-Jul,Open,Offers morning and afternoon sessions and two classrooms per center. Half a day of vocational training or community service. Students receive an individualized learning plan. For students who have dropped out or are at risk,-71.769197,44.299266
Seacoast Charter School,13 Church St.,"Exeter, NH 03833",603-642-8400,2004,104,6-Jan,Open,Excellence in core academics and the arts while cultivating the individual qualities and strengths of each child.,-70.9404082,43.0363511
Strong Foundations Charter School,303 Southwest Rd,"Canterbury, NH 03275",603-568-5700,2007,71,K-4,Open,For intellectually typical children at-risk for or already diagnosed as having language learning disabilities. Will expand to grade 4.,-71.5796604,43.3334112
Surry Village Charter School,449 Route 12A,"Surry, NH 03431",603-357-9700,2006,63,K-6,Open,"Emphasizes learning how to live in a rural environment. Features woodworking, gardening and physical education. Will expand to K-8 over years",-72.323501,43.0123927
Virtual Learning Academy Charter School (VLACS),30 Linden St.,"Exeter, NH 03833",603-778-2500,2008,1500,12-Sep,Open,Virtual school which allows students to work at their own pace and receive individualized help.,-70.955544,42.976583
New Hampshire Equestrian Academy Charter School,60 Farmington Rd.,"Rochester, NH 03867",,2006,,,Closed,Financial - Inadequate enrollment.,-71.0101752,43.3354673
Academy Charter High School,1725 Main St.,"South Belmar, NJ 07719",732-681-8377,1998,200,12-Sep,Open,"Provides a challenging and nurturing environment founded on virtues of courage, respect, truth and honor. Uses block scheduling and an interdisciplinary college preparatory curriculum.",-74.027838,40.171415
Academy for Urban Leadership Charter High School,401 Hall Ave.,"Perth Ambory, NJ 08861",732-324-2114,2010,100,9,Open,,-74.2757734,40.5214277
Adelaide L. Sanford Charter School,53 Lincoln Park,"Newark, NJ 07102",973-297-1275,2007,144,K-2,Open,Standards-based curriculum.,-74.1796776,40.7268513
Barack Obama Green Charter High School,530 W. 7th St.,"Plainfield, NJ 07060",908-822-8672,2010,120,10-Sep,Open,,-74.4235242,40.6095915
Bergen Arts and Science Charter School,200 MacArthur Ave.,"Garfield, NJ 07026",201-880-6256,2007,360,K-5,Open,"Project-oriented, interdisciplinary and thematic curriculum with state-of-the-art technology infused through the program. Will expand to grade 8.",-74.098496,40.874084
Burch Charter School of Excellence,100 Linden Ave.,"Irvington, NJ 07111",973-854-0415,2008,108,K-1,Open,"Curriculum will emphasize the basics of literacy, mathematics and technology.",-74.2271369,40.7300895
Camden Academy Charter High School,879 Beideman Ave.,"Camden, NJ 08105",856-365-1000,2001,400,12-Sep,Open,Anchored by the New Jersey Core Curriculum Content Standards and delivered in a collegiate academy style. There are two academies: an Academy of Business and an Academy of Science. A strong focus is placed on guidance programs.,-75.0855425,39.9579312
Camdens Pride Charter School,820 Lois Ave.,"Camden, NJ 08105",856-365-1000,2008,84,K-1,Open,"Focus on literacy, math and technology. Encourage students to learn through experimentation and creativity. Will expand to grade 4.",-75.085856,39.956444
Camdens Promise Charter School,879 Beideman Ave.,"Camden, NJ 08105",856-365-1000,1998,400,8-May,Open,"For at-risk youth with rigorous academics using a holistic approach. Stresses development of character, leadership skills, conflict-resolution abilities and community responsibility.",-75.0855425,39.9579312
Capital Preparatory Charter High School,22 Grand St.,"Trenton, NJ 08611",609-393-9060,2008,200,11-Sep,Open,College preparatory program with longer school day and longer school year. Will expand to grade 12.,-74.7509369,40.206007
Central Jersey Arts Charter School,35-37 Watchung Ave.,"Plainfield, NJ 07060",908-753-0030,2006,230,K-5,Open,Core curriculum enhanced with art education. Will add 6-8,-74.4062,40.6183
Central Jersey College Prep Charter School,17 School House Rd.,"Somerset, NJ 08873",732-302-9991,2006,180,9-Jul,Open,"Promotes strong partnership between student, teacher and parent. Will increase to grade 12.",-74.5858636,40.394589
Charter-Tech. High School for Performing Arts,413 New Rd.,"Somers Point, NJ 08244",609-926-7694,1999,250,12-Sep,Open,Committed to public arts and advanced technology education. Students receive specialized instruction and performance opportunities and prepare artistic performances and academic portfolios.,-74.59942,39.326999
Classical Academy Charter School of Clifton,20 Valley Rd.,"Clifton, NJ 07130",973-278-7707,1998,95,8-Jun,Open,Humanities and liberal arts curriculum.,-74.1667283,40.8199116
Community Charter School of Paterson,75 Spruce St.,"Paterson, NJ 07501",973-345-7623,2008,500,K-3,Open,,-74.1780036,40.9116308
DUE (Distinctions in Urban Education) Season Charter School,1000 Atlantic Ave.,"Camden, NJ 08104",856-225-0511,2005,329,"K-3, 5-6",Open,A distinguished education for students in urban setting. Features small classes and individual learning plans.,-75.107995,39.928557
East Orange Community Charter School,99 Washington St,"East Orange, NJ 07017",973-996-0400,1998,485,K-4,Open,"Seeks to promote excellence by providing students hands-on, active learning experiences through back-to-basics activities that allow spontaneity, creativity, innovation and challenges. Parental and community involvement encouraged.",-74.2208573,40.7738284
ECO (Environment Community Opportunity) Charter School,817 Carpenter St. Bridgeview Complex,"Camden, NJ 08102",856-963-2627,2005,200,K-4,Open,Uses the environment as an Integrating Context for Improving Students Learning (EIC) Framework.,-122.0461614,37.6250314
Ellen G. Pressman Charter School,232 E. Front St.,"Plainfield, NJ 07060",908-668-7770,2009,160,8-Jun,Open,School focuses on music and performing arts,-74.4209727,40.6212207
Elysian Charter School,301 Garden St.,"Hoboken, NJ 07030",201-876-0102,1997,288,K-8,Open,Provides students with an understanding and appreciation for the worlds human and natural environments through the study of the local community. Parent-teacher-community collaboration emphasized.,-74.031437,40.740609
Emily Fisher Charter School,31 Chancery Ln.,"Trenton, NJ 08618",609-656-1444,1998,255,12-Jun,Open,Addresses the needs of seriously disruptive students without sacrificing high academic standards. Each student must discover a personal interest on which to build a personal curriculum.,-74.7668454,40.2207794
Englewood on the Palisades Charter School,65 W. Demarest Ave.,"Englewood, NJ 07631",201-569-9765,1998,202,K-6,Open,"Emphasis on active, in-depth learning, collaborative learning, diversity and student portfolios.",-73.9759953,40.8994533
Foundation Academy Charter School,333 S. Broad St.,"Trenton, NJ 08608",609-920-9200,2007,200,8-May,Open,"Focus on urban adolescents, building community and results and values focus. College prep.",-74.7612268,40.2149499
"Freedom Academy, A KIPP School",1400 Collings Rd.,"Camden, NJ 08104",856-962-0766,2004,257,8-May,Open,Demanding curriculum. Focus on at-risk children. Offers an extended day and Saturday sessions.,-75.1011429,39.904953
Galloway Community Charter School,112 S. New York Rd.,"Galloway, NJ 08205",609-652-7118,1997,289,K-8,Open,Child-centered environment that promotes independent and cooperative learning based on inquiry and exploration. Seeks to foster academic achievement and increase parental involvement.,-74.458032,39.48136
Gray Charter School,55 Liberty St.,"Newark, NJ 07102",973-824-6661,2000,300,K-8,Open,Positive learning atmosphere by focusing on the fundamental academic disciplines.,-74.1691643,40.730867
Greater Brunswick Charter School,429 Joyce Kilmer Ave.,"New Brunswick, NJ 08901",732-448-1052,1998,204,K-8,Open,"Emphasis on civility, community and democracy. Focus on intellectual development, socio-economic growth and civic responsibility.",-74.462532,40.478586
Greater Newxark Academy Charter School,72 Central Ave.,"Newark, NJ 07108",973-242-3543,2000,175,8-May,Open,"Commitment to rigorous standards. Uses project-based learning, learning through assessment and technology across the curriculum.",-74.1725978,40.7423255
Hatikvah International Academy Charter School,367 Crenbury Rd,"East Brunswick, NJ 08816",732-640-5850,2010,108,K-2,Open,International Baccalaureate curriculum and will teach Hebrew as as second language. Will expand to K-8.,-74.4159462,40.412596
Hoboken Charter School,"4th and Garden St., 3rd Floor","Hoboken, NJ 07030",201-963-0222,1998,268,K-12,Open,"Emphasizes service learning, enabling students to apply what they have learned in school in meaningful ways within their community.",-74.0314707,40.741568
Hoboken Dual Language Charter School (HoLa),123 Jefferson St.,"Hoboken, NJ 07030",201-427-1458,2010,132,K-2,Open,Two-way immersion program in Spanish and English.,-74.0379813,40.7395188
Hope Academy Charter School,700 Grand Ave.,"Asbury Park, NJ 07712",732-988-4227,2001,135,K-8,Open,Focus on intellectual excellence and character education.,-74.007128,40.218808
Institute for Excellence Charter School,"41 South Route 73, Suite 205","Hammonton, NJ 08037",609-561-9414,2009,240,K-2,Open,,-74.896875,39.712456
International Charter School of Trenton,105 Grand St.,"Trenton, NJ 08611",609-394-3111,1998,90,K-5,Open,"Challenging program, including language studies at an early age with an international orientation. Assessments are used to develop student improvement plans and track academic progress.",-74.7499554,40.2053576
Jersey City Community Charter School,128 Danforth Ave.,"Jersey City, NJ 07305",201-433-2288,1997,498,K-8,Open,"Integrates a holistic curriculum, learner-centered techniques, family-and-care-giver-centered approaches, community involvement and cutting-edge technology.",-74.0911476,40.6962287
Jersey City Golden Door Charter School,180 Ninth St.,"Jersey City, NJ 07302",201-795-4400,1998,500,K-8,Open,"Rigorous, content-based academic standards against which the performance of all students will be assessed annually.",-74.040131,40.727986
Lady Liberty Academy Charter School,23 Pennsylvania Ave.,"Newark, NJ 07114",973-623-9005,2001,421,K-8,Open,"Equality of opportunity by promoting academic success for all, collaboration and involvement among staff, students and parents and respect and promotion of a diverse, multicultural society.",-74.1800967,40.7250872
LEAP Academy University Charter School,639 Cooper St.,"Camden, NJ 08102",856-614-5600,1997,780,K-12,Open,"Encourages students and their families to succeed in the 21st century. Developmentally appropriate multi-age classrooms to allow for optimal student learning in a stable environment. Math, science and technology curriculum. Longer school year.",-75.1175501,39.9464158
Learning Community Charter School,1 Canal St.,"Jersey City, NJ 07302",201-332-0900,1997,324,K-8,Open,Focuses on the skills necessary for students to succeed. All students held to high academic standards.,-74.0450293,40.7157466
